city,group,num_test_brands,base_recall,final_recall,delta_recall,base_ndcg,final_ndcg,delta_ndcg
Chicago,tail,75,0.33444444444444443,0.36777777777777776,0.033333333333333326,0.19101076616432874,0.20127999633019614,0.010269230165867393
Chicago,mid,69,0.2512077294685991,0.2512077294685991,0.0,0.11867110896600008,0.11884052759369682,0.00016941862769673244
Chicago,head,62,0.09586062234926562,0.09586062234926562,0.0,0.12194569712611926,0.12184649159753876,-9.92055285805038e-05
NYC,tail,144,0.265625,0.2725694444444444,0.00694444444444442,0.1399683806728964,0.14201476479302932,0.002046384120132916
NYC,mid,150,0.14044444444444446,0.14377777777777778,0.003333333333333327,0.06262313451413534,0.06400720973466426,0.001384075220528913
NYC,head,109,0.06865022504931809,0.06846673881078598,-0.00018348623853210733,0.05574482865100155,0.05570662731026529,-3.820134073626025e-05
Singapore,tail,175,0.49028571428571427,0.5179047619047619,0.0276190476190476,0.24265320667587323,0.25273044792606775,0.010077241250194519
Singapore,mid,118,0.43785310734463273,0.48305084745762705,0.04519774011299432,0.22706309225298346,0.23976569333557557,0.012702601082592108
Singapore,head,101,0.348811738407948,0.35309539287633596,0.004283654468387965,0.23475946777313106,0.2369459401621396,0.0021864723890085425
Tokyo,tail,362,0.17472375690607736,0.17472375690607736,0.0,0.10067915492490515,0.10092595839820442,0.00024680347329927854
Tokyo,mid,280,0.1255952380952381,0.12083333333333332,-0.004761904761904773,0.06269278462269715,0.061426320820835045,-0.0012664638018621
Tokyo,head,247,0.077912407973275,0.08296649065035912,0.005054082677084112,0.05462491720133739,0.05685240701925112,0.002227489817913729
Average,tail,756,0.316269728909059,0.33324393525826534,0.016974206349206336,0.1685778771095009,0.1742377918618744,0.005659914752373527
Average,mid,617,0.23877512983822857,0.24971742200933433,0.01094229217110572,0.11776253008895401,0.12100993787119292,0.0032474077822389133
Average,head,519,0.14780874844495168,0.15009731117168668,0.0022885627267349926,0.11676872768789731,0.11783786652229869,0.0010691388344013768
