city,base_recall,final_recall,delta_recall,base_ndcg,final_ndcg,delta_ndcg
Chicago,0.23475740413748125,0.24689332646757833,0.012135922330097082,0.14599391846018475,0.14975960489212228,0.0037656864319375316
NYC,0.1657556853524624,0.16942814192814476,0.0036724565756823535,0.08839976009175324,0.08963580637025999,0.00123604627850675
Singapore,0.4383163762585518,0.4652181929285362,0.026901816669984424,0.23596056421120842,0.24480132019552253,0.008840755984314108
Tokyo,0.1323521163510299,0.13225653152302816,-9.55848280017324e-05,0.07591922196389336,0.07623972025167475,0.00032049828778138445
