rrf_k,protect_top,city,variant,recall,ndcg,valid_recall,valid_ndcg
30.0,4,Chicago,q30_sum,0.23961177306952008,0.1478685871953674,0.8603856732891179,0.5309631619618141
30.0,4,Chicago,q20_sum,0.23961177306952008,0.14793421478130997,0.8603856732891179,0.531054015313629
30.0,4,Chicago,q25_sum,0.23961177306952008,0.14793421478130997,0.8603856732891179,0.5310119366772006
30.0,4,Chicago,q30_50_20_sum,0.23961177306952008,0.14793421478130997,0.8603856732891179,0.531054015313629
30.0,4,Chicago,q25_alpha_transfer_tuned,0.2394007135507358,0.14849802514309174,0.860801586933187,0.5318813356020792
30.0,4,Chicago,q25_valid_r_plus_2n,0.23961177306952008,0.14793421478130997,0.8603856732891179,0.5310119366772006
30.0,5,Chicago,q30_sum,0.24689332646757833,0.1497342613564896,0.8603856732891179,0.5306034948730864
30.0,5,Chicago,q20_sum,0.24689332646757833,0.14975960489212228,0.8603856732891179,0.5306534620753781
30.0,5,Chicago,q25_sum,0.24689332646757833,0.14975960489212228,0.8603856732891179,0.5306623142725031
30.0,5,Chicago,q30_50_20_sum,0.24689332646757833,0.14975960489212228,0.8603856732891179,0.5306534620753781
30.0,5,Chicago,q25_alpha_transfer_tuned,0.24182789801675522,0.14853510721128424,0.860801586933187,0.5313210922613041
30.0,5,Chicago,q25_valid_r_plus_2n,0.24689332646757833,0.14975960489212228,0.8603856732891179,0.5306623142725031
30.0,6,Chicago,q30_sum,0.24527520349023205,0.14902394508704048,0.8603856732891179,0.5303287207480276
30.0,6,Chicago,q20_sum,0.24689332646757833,0.14965993780188816,0.8603856732891179,0.5302595148570761
30.0,6,Chicago,q25_sum,0.24689332646757833,0.14958891229620297,0.8603856732891179,0.5302468740244676
30.0,6,Chicago,q30_50_20_sum,0.24689332646757833,0.14965993780188816,0.8603856732891179,0.5302595148570761
30.0,6,Chicago,q25_alpha_transfer_tuned,0.24182789801675522,0.14844189709691008,0.860801586933187,0.5307665276046706
30.0,6,Chicago,q25_valid_r_plus_2n,0.24689332646757833,0.14958891229620297,0.8603856732891179,0.5302468740244676
30.0,4,NYC,q30_sum,0.1699244198437775,0.08972999378598608,0.9033331132583815,0.5349011775365317
30.0,4,NYC,q20_sum,0.16942814192814476,0.08955292666829029,0.9039733511566839,0.5347156032370017
30.0,4,NYC,q25_sum,0.16942814192814476,0.089518422828384,0.9039733511566839,0.5346797764254889
30.0,4,NYC,q30_50_20_sum,0.16942814192814476,0.08955292666829029,0.9039733511566839,0.5347156032370017
30.0,4,NYC,q25_alpha_transfer_tuned,0.1656706091383539,0.08891908816828316,0.9093006625693335,0.5368455612180391
30.0,4,NYC,q25_valid_r_plus_2n,0.16942814192814476,0.089518422828384,0.9039733511566839,0.5346797764254889
30.0,5,NYC,q30_sum,0.16942814192814476,0.08956969730207072,0.9037895116986508,0.5336995379788367
30.0,5,NYC,q20_sum,0.16942814192814476,0.08955225836239993,0.9039733511566839,0.5339723191181859
